classID,name,description,capacity,time
1004,Zumba,All levels welcome. Move your body to the rhythm and burn some calories in this judgement-free ZUMBA class.,30,2021-12-04 12:00:00
3106,Circuit Training,Prerequisite: Fitness Boot Camp. This class tests your endurance and develops your strength and coordination utilizing a variety of exercises and work out stations.,25,2021-12-04 16:00:00
2905,Beginner Yoga,Beginner-friendly class that teaches you basic yoga positions and helps improve your strength and flexibility. Find your balance today!,12,2021-12-05 12:00:00
6874,SoulCycle,All levels welcome. This cycle class incorporates various cycle rides as a high energy cardio workout for the entire body.,20,2021-12-05 14:30:00
8181,HIIT,Prerequisite: Circuit training. Advanced levels only. This interval based class combines full body strength training with cardio bursts.,25,2021-12-06 12:00:00
7777,Pilates,All levels welcome. The basic method of mat-based core training which conditions multiple muscles in your body.,6,2021-12-06 15:45:00
4329,Tai Chi,Beginner/Intermediate levels welcome. Tai Chi is a chinese exercise that incorporates slow and repetitive low impact movements to achieve relaxation of both body and mind.,10,2021-12-07 14:00:00
5883,Fitness Boot Camp,Beginner-friendly. This class teaches you the basics of fitness and incorporates a variety of activities like cardio and strength training.,15,2021-12-08 12:00:00
1004,Zumba,All levels welcome. Move your body to the rhythm and burn some calories in this judgement-free ZUMBA class.,30,2021-12-08 05:00:00
2905,Beginner Yoga,Beginner-friendly class that teaches you basic yoga positions and helps improve your strength and flexibility. Find your balance today!,12,2021-12-09 09:00:00
7777,Pilates,All levels welcome. The basic method of mat-based core training which conditions multiple muscles in your body.,6,2021-12-09 12:00:00
5883,Fitness Boot Camp,Beginner-friendly. This class teaches you the basics of fitness and incorporates a variety of activities like cardio and strength training.,15,2021-12-09 16:00:00
3106,Circuit Training,Prerequisite: Fitness Boot Camp. This class tests your endurance and develops your strength and coordination utilizing a variety of exercises and work out stations.,25,2021-12-10 11:00:00
6874,SoulCycle,All levels welcome. This cycle class incorporates various cycle rides as a high energy cardio workout for the entire body.,20,2021-12-10 13:45:00
1004,Zumba,All levels welcome. Move your body to the rhythm and burn some calories in this judgement-free ZUMBA class.,30,2021-12-11 09:00:00
8181,HIIT,Prerequisite: Circuit training. Advanced levels only. This interval based class combines full body strength training with cardio bursts.,25,2021-12-11 12:00:00
